                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.65703,                0.49052,                0.96373,                0.86891,                0.73309,                0.81718,                0.66988,                0.78915,                0.77505,                 1.0252,             0.00049493,             0.00049493,             0.00049493
                     74,                 0.6453,                0.47702,                0.95733,                0.86913,                0.76265,                0.82973,                0.66951,                0.79005,                0.71425,                 1.0321,             0.00049112,             0.00049112,             0.00049112
                     75,                0.63406,                0.47804,                 0.9502,                0.84389,                0.79865,                0.83613,                 0.6788,                0.78642,                 0.7243,                 1.0286,             0.00048732,             0.00048732,             0.00048732
                     76,                0.64469,                0.48345,                0.94844,                0.84342,                  0.773,                0.83101,                0.68948,                0.79561,                 0.7328,                   1.03,             0.00048351,             0.00048351,             0.00048351
                     77,                 0.6387,                0.48164,                0.95369,                0.84533,                0.76481,                0.82149,                0.67728,                0.76891,                0.72919,                 1.0206,              0.0004797,              0.0004797,              0.0004797
                     78,                0.64236,                0.47259,                0.95232,                0.85773,                0.76598,                0.82475,                0.67176,                0.77712,                0.78492,                 1.0199,              0.0004759,              0.0004759,              0.0004759
                     79,                0.62335,                0.45869,                0.94374,                0.81219,                0.77871,                0.81723,                0.67381,                0.77566,                0.74805,                 1.0237,             0.00047209,             0.00047209,             0.00047209
                     80,                0.63463,                0.47678,                0.95379,                0.84317,                0.77156,                0.82845,                0.67895,                0.78239,                0.70833,                 1.0397,             0.00046828,             0.00046828,             0.00046828
                     81,                0.62504,                0.46481,                0.94642,                0.84551,                0.77337,                0.81661,                0.67432,                0.77637,                0.76182,                 1.0281,             0.00046448,             0.00046448,             0.00046448
                     82,                0.62147,                0.45323,                0.94358,                0.84178,                0.78025,                0.82688,                0.67688,                0.76637,                 0.7145,                 1.0198,             0.00046067,             0.00046067,             0.00046067
                     83,                0.61309,                 0.4612,                0.94313,                0.87468,                0.76569,                0.82925,                0.67572,                0.77122,                0.72266,                 1.0257,             0.00045686,             0.00045686,             0.00045686
                     84,                0.61861,                0.45753,                0.93882,                0.84908,                0.79728,                0.83716,                  0.694,                0.75942,                0.69586,                 1.0188,             0.00045306,             0.00045306,             0.00045306
                     85,                0.61566,                0.45116,                0.94521,                0.85613,                0.78167,                0.83995,                0.70117,                0.77433,                 0.6985,                 1.0306,             0.00044925,             0.00044925,             0.00044925
                     86,                0.60842,                0.44397,                 0.9344,                 0.8138,                0.78516,                0.81801,                0.67696,                0.76723,                0.73078,                 1.0207,             0.00044544,             0.00044544,             0.00044544
                     87,                0.60226,                0.44855,                0.93546,                 0.8909,                0.76918,                0.83248,                0.69239,                0.76437,                0.71629,                   1.02,             0.00044164,             0.00044164,             0.00044164
                     88,                 0.5976,                0.43716,                0.93365,                0.81747,                0.79839,                0.82935,                0.68455,                0.76652,                0.72423,                 1.0191,             0.00043783,             0.00043783,             0.00043783
                     89,                0.59769,                0.44319,                0.93648,                0.84097,                  0.785,                0.82686,                0.68577,                0.76386,                0.71554,                 1.0211,             0.00043402,             0.00043402,             0.00043402
                     90,                0.59421,                0.43252,                0.93189,                0.84401,                0.77372,                0.83116,                0.69604,                0.73771,                0.73091,                 1.0084,             0.00043022,             0.00043022,             0.00043022
                     91,                0.59797,                0.44534,                 0.9403,                0.79686,                0.80338,                0.83153,                0.68689,                0.75769,                0.73073,                 1.0207,             0.00042641,             0.00042641,             0.00042641
                     92,                0.58913,                 0.4321,                0.93111,                0.84654,                0.78067,                0.83292,                0.69137,                0.75328,                0.71039,                 1.0255,              0.0004226,              0.0004226,              0.0004226
                     93,                0.59111,                0.43504,                 0.9327,                0.85936,                0.78278,                0.82529,                0.69177,                0.74285,                0.72699,                 1.0104,              0.0004188,              0.0004188,              0.0004188
                     94,                0.59356,                0.44111,                0.93437,                0.87182,                0.78309,                 0.8318,                0.69686,                0.74298,                0.70589,                 1.0096,             0.00041499,             0.00041499,             0.00041499
                     95,                0.57787,                0.42876,                0.92426,                0.83338,                 0.8047,                0.83177,                0.69365,                0.75518,                0.72879,                 1.0206,             0.00041118,             0.00041118,             0.00041118
                     96,                0.57327,                0.42274,                0.92623,                0.87743,                0.76445,                0.83549,                0.69188,                0.76126,                0.70511,                 1.0238,             0.00040738,             0.00040738,             0.00040738
                     97,                0.57885,                0.42087,                0.92539,                0.89278,                0.74092,                0.83279,                 0.6902,                0.75525,                0.74079,                 1.0312,             0.00040357,             0.00040357,             0.00040357
                     98,                0.56971,                0.42248,                0.92478,                0.83321,                0.80004,                0.83493,                0.69617,                0.75399,                0.75072,                 1.0214,             0.00039976,             0.00039976,             0.00039976
                     99,                0.56696,                0.41712,                0.92089,                0.85526,                0.78254,                 0.8392,                0.69716,                 0.7545,                0.75342,                 1.0218,             0.00039596,             0.00039596,             0.00039596
                    100,                 0.5617,                0.41077,                0.91913,                0.87914,                0.76395,                0.83159,                0.69755,                0.73923,                0.73553,                 1.0133,             0.00039215,             0.00039215,             0.00039215
                    101,                0.56903,                0.41688,                0.92635,                 0.8562,                0.80043,                0.84097,                0.70238,                0.74664,                0.70015,                 1.0176,             0.00038835,             0.00038835,             0.00038835
                    102,                0.56107,                0.41201,                0.92277,                0.84784,                0.77482,                0.83212,                0.69667,                0.74552,                0.69853,                  1.012,             0.00038454,             0.00038454,             0.00038454
                    103,                0.56552,                0.41223,                0.92166,                  0.866,                0.79622,                0.83766,                0.70326,                0.73289,                0.69366,                 1.0108,             0.00038073,             0.00038073,             0.00038073
                    104,                0.55832,                0.40923,                0.91781,                0.87705,                0.78839,                0.83351,                0.70101,                0.73228,                0.71377,                 1.0012,             0.00037693,             0.00037693,             0.00037693
                    105,                0.56048,                0.41073,                0.91951,                0.85775,                 0.7709,                 0.8302,                0.69552,                0.73861,                0.73526,                 1.0157,             0.00037312,             0.00037312,             0.00037312
                    106,                0.55936,                0.40875,                 0.9157,                0.84549,                0.78688,                0.83874,                0.70811,                0.72422,                 0.6806,                 1.0049,             0.00036931,             0.00036931,             0.00036931
                    107,                0.55738,                0.40406,                0.92039,                0.86995,                0.78096,                0.83419,                0.70064,                0.72782,                0.71862,                 1.0013,             0.00036551,             0.00036551,             0.00036551
                    108,                0.55107,                 0.4053,                0.91749,                0.85445,                0.77415,                0.82787,                0.69374,                0.72894,                0.73037,                 1.0062,              0.0003617,              0.0003617,              0.0003617
                    109,                0.54458,                0.39812,                0.91441,                0.84669,                0.78763,                0.81791,                0.68168,                0.72466,                0.74305,                 1.0157,             0.00035789,             0.00035789,             0.00035789
                    110,                0.53807,                 0.3985,                0.91023,                 0.8475,                0.78559,                0.82398,                 0.6926,                0.72323,                0.72446,                0.99908,             0.00035409,             0.00035409,             0.00035409
                    111,                0.54433,                 0.3989,                0.91269,                0.83636,                0.79956,                0.83193,                0.70078,                0.72193,                0.73324,                 1.0014,             0.00035028,             0.00035028,             0.00035028
                    112,                0.54081,                0.39641,                0.90869,                0.83444,                0.80289,                 0.8303,                0.70125,                0.71469,                0.71336,                0.99603,             0.00034647,             0.00034647,             0.00034647
                    113,                0.54071,                0.39371,                0.91679,                0.88126,                0.78823,                0.83326,                0.70462,                0.71357,                0.72093,                 1.0027,             0.00034267,             0.00034267,             0.00034267
                    114,                0.53694,                0.38696,                0.90992,                0.84732,                0.80459,                0.83527,                0.70948,                0.70594,                0.68623,                0.99142,             0.00033886,             0.00033886,             0.00033886
                    115,                0.54085,                0.39885,                0.91998,                0.85902,                0.78461,                0.82797,                0.70175,                0.71065,                0.73331,                 1.0055,             0.00033505,             0.00033505,             0.00033505
                    116,                 0.5371,                0.39254,                0.91554,                0.88096,                0.77148,                0.82871,                0.69926,                0.71726,                0.70541,                 1.0042,             0.00033125,             0.00033125,             0.00033125
                    117,                0.52688,                 0.3788,                0.90876,                0.86876,                0.77081,                0.82623,                0.70608,                0.71813,                0.71803,                 1.0032,             0.00032744,             0.00032744,             0.00032744
                    118,                0.52774,                0.37868,                0.90656,                0.85712,                0.76811,                0.82794,                 0.7032,                0.71259,                0.72327,                 1.0052,             0.00032363,             0.00032363,             0.00032363
                    119,                0.51696,                0.37846,                0.90153,                0.83522,                    0.8,                0.83182,                0.70279,                0.71329,                0.71128,                 1.0095,             0.00031983,             0.00031983,             0.00031983
                    120,                0.51345,                0.37446,                0.90039,                0.87981,                0.77753,                0.83829,                 0.7127,                0.71646,                0.70642,                 1.0147,             0.00031602,             0.00031602,             0.00031602
                    121,                0.51961,                0.37711,                0.90947,                0.85112,                0.79091,                0.83094,                0.70543,                0.70637,                0.69466,                0.99998,             0.00031221,             0.00031221,             0.00031221
                    122,                0.52662,                0.38019,                 0.9125,                 0.8616,                0.78305,                0.84328,                 0.7116,                 0.7225,                0.72255,                 1.0146,             0.00030841,             0.00030841,             0.00030841
                    123,                0.51317,                0.37334,                0.89887,                0.82104,                0.81401,                0.82607,                0.70394,                0.71212,                0.74326,                 1.0054,              0.0003046,              0.0003046,              0.0003046
                    124,                0.50729,                0.36821,                0.90136,                0.80732,                0.81194,                0.83346,                  0.712,                0.71205,                0.72402,                 1.0063,             0.00030079,             0.00030079,             0.00030079
                    125,                0.50828,                0.37525,                0.90308,                0.85099,                0.78539,                0.82369,                0.71495,                0.70488,                0.72542,                 1.0124,             0.00029699,             0.00029699,             0.00029699
                    126,                0.51007,                0.37324,                0.90268,                0.85805,                0.78038,                0.82817,                0.70067,                0.71032,                0.72906,                 1.0087,             0.00029318,             0.00029318,             0.00029318
                    127,                0.50531,                0.35845,                0.90037,                0.84419,                0.79128,                0.82572,                0.70468,                0.70831,                0.71627,                 1.0043,             0.00028937,             0.00028937,             0.00028937
                    128,                0.50104,                0.36504,                0.89677,                 0.8324,                0.80255,                0.83047,                0.70398,                0.70726,                 0.7067,                 1.0043,             0.00028557,             0.00028557,             0.00028557
