                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.65805,                0.49452,                 1.0551,                0.93429,                0.89202,                0.95103,                0.74572,                0.81107,                0.50199,                 1.1928,              0.0011783,              0.0011783,              0.0011783
                     85,                0.64601,                0.48788,                 1.0531,                0.95492,                0.88783,                0.94761,                0.73317,                0.84788,                 0.4959,                 1.2074,              0.0011684,              0.0011684,              0.0011684
                     86,                0.65316,                0.49507,                 1.0427,                0.95601,                0.87452,                0.94722,                0.73872,                0.80321,                 0.5206,                 1.2019,              0.0011585,              0.0011585,              0.0011585
                     87,                0.61595,                0.48398,                 1.0379,                0.96448,                0.88593,                0.95098,                0.73632,                0.81925,                0.50081,                 1.1975,              0.0011486,              0.0011486,              0.0011486
                     88,                0.64552,                0.48993,                 1.0411,                0.94016,                0.89607,                0.93898,                0.73037,                 0.8287,                0.51144,                 1.2018,              0.0011387,              0.0011387,              0.0011387
                     89,                0.63292,                0.47558,                 1.0381,                0.95839,                0.88213,                0.95006,                0.74879,                0.78489,                 0.5002,                  1.169,              0.0011288,              0.0011288,              0.0011288
                     90,                 0.6116,                0.48172,                 1.0263,                0.95003,                0.88973,                0.94749,                0.74641,                  0.805,                0.48724,                 1.1956,              0.0011189,              0.0011189,              0.0011189
                     91,                0.61785,                0.47516,                 1.0363,                0.95711,                0.88213,                0.94471,                0.75793,                0.78382,                0.50438,                 1.1536,               0.001109,               0.001109,               0.001109
                     92,                0.60409,                0.47058,                  1.028,                 0.9438,                0.89354,                0.94842,                0.74011,                0.81004,                0.51379,                 1.2006,              0.0010991,              0.0010991,              0.0010991
                     93,                0.62355,                 0.4748,                 1.0314,                 0.9462,                0.90494,                0.95609,                0.75924,                0.78347,                0.48885,                  1.194,              0.0010892,              0.0010892,              0.0010892
                     94,                0.61334,                0.47123,                  1.032,                0.96444,                0.87654,                 0.9486,                0.75828,                0.78404,                0.50997,                 1.1673,              0.0010793,              0.0010793,              0.0010793
                     95,                0.60395,                0.46735,                 1.0239,                0.95052,                0.88213,                 0.9402,                0.75199,                0.80105,                0.52799,                 1.1772,              0.0010694,              0.0010694,              0.0010694
                     96,                0.61211,                0.47388,                 1.0256,                0.95087,                0.88308,                0.94034,                0.73759,                0.80523,                0.52012,                 1.1922,              0.0010595,              0.0010595,              0.0010595
                     97,                0.61601,                  0.483,                 1.0349,                0.95518,                0.88973,                 0.9454,                0.74424,                0.81739,                0.48716,                 1.1833,              0.0010496,              0.0010496,              0.0010496
                     98,                0.59305,                0.46536,                 1.0212,                0.95142,                0.89351,                0.94987,                0.76389,                 0.7752,                0.49448,                  1.155,              0.0010397,              0.0010397,              0.0010397
                     99,                0.62506,                0.47732,                 1.0439,                0.95267,                0.88023,                 0.9486,                0.74711,                0.84849,                 0.5173,                 1.2157,              0.0010298,              0.0010298,              0.0010298
                    100,                 0.6069,                0.46403,                 1.0212,                0.95262,                0.87262,                 0.9359,                  0.736,                0.82634,                0.52048,                 1.1921,              0.0010199,              0.0010199,              0.0010199
                    101,                0.59105,                0.47144,                  1.023,                0.95478,                0.88309,                 0.9439,                0.74603,                0.78384,                0.48855,                   1.17,                0.00101,                0.00101,                0.00101
                    102,                0.58171,                0.45335,                 1.0128,                0.93718,                0.90755,                0.95045,                 0.7553,                0.79766,                0.48587,                 1.1759,              0.0010001,              0.0010001,              0.0010001
                    103,                0.58029,                0.46136,                 1.0112,                0.93903,                0.90774,                0.95845,                0.76547,                0.78733,                0.47414,                 1.1884,              0.0009902,              0.0009902,              0.0009902
                    104,                  0.587,                0.45983,                 1.0218,                0.94206,                 0.8965,                0.94968,                0.74756,                0.80652,                0.49261,                 1.2138,              0.0009803,              0.0009803,              0.0009803
                    105,                 0.5739,                 0.4397,                  1.011,                0.90574,                0.91335,                0.94752,                0.75439,                0.78005,                0.48325,                 1.1589,              0.0009704,              0.0009704,              0.0009704
                    106,                0.56858,                0.44685,                 1.0116,                0.94764,                0.90494,                0.95779,                0.76117,                0.78334,                0.46624,                 1.1843,              0.0009605,              0.0009605,              0.0009605
